id_filename,decision_sign,name,party,legal area,entscheid
1000,5A_449/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
100,7B_245/2026,Abrecht,SP,Strafrecht,gutgeheissen
101,6B_975/2025,Muschietti,FDP,Strafrecht,teilweise gutgeheissen
102,"6B_845/2025, 6B_846/2025",Muschietti,FDP,Strafrecht,gutgeheissen
103,7B_155/2026,Abrecht,SP,Strafrecht,teilweise gutgeheissen
104,7B_49/2026,Abrecht,SP,Strafrecht,abgewiesen
105,6B_424/2026,Muschietti,FDP,Strafrecht,nicht eingetreten
106,6F_7/2026,Muschietti,FDP,AndererBereich,nicht eingetreten
108,5A_596/2026,Bovey,FDP,Zivilrecht,abgewiesen
109,4A_283/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
10,5A_564/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
110,4A_151/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
111,4A_195/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
112,4A_227/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
113,4D_73/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
114,1C_128/2026,Haag,GLP,Öffentliches Recht,abgewiesen
115,7B_612/2024,Abrecht,SP,Strafrecht,abgewiesen
116,5A_737/2025,Bovey,FDP,Zivilrecht,abgewiesen
118,9C_498/2025,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
119,7B_1326/2024,Abrecht,SP,Strafrecht,abgewiesen
11,5A_505/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
120,7B_774/2026,Abrecht,SP,Strafrecht,nicht eingetreten
121,8C_343/2025,Viscione,SVP,Öffentliches Recht,teilweise gutgeheissen
122,9C_374/2025,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
123,5A_683/2025,Bovey,FDP,Zivilrecht,gutgeheissen
124,5F_19/2026,Bovey,FDP,AndererBereich,abgewiesen
125,8C_360/2026,Viscione,SVP,Öffentliches Recht,nicht eingetreten
126,8C_361/2026,Viscione,SVP,Öffentliches Recht,nicht eingetreten
127,8C_363/2026,Viscione,SVP,Öffentliches Recht,nicht eingetreten
128,9C_630/2025,Moser-Szeless,SVP,Öffentliches Recht,nicht eingetreten
12,5A_508/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
130,8C_338/2026,Viscione,SVP,Öffentliches Recht,nicht eingetreten
131,5A_121/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
132,5A_129/2026,Bovey,FDP,Zivilrecht,abgewiesen
133,5A_440/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
135,1C_356/2026,Haag,GLP,Öffentliches Recht,nicht eingetreten
136,9C_532/2025,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
137,5A_561/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
138,4D_54/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
139,4D_56/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
13,6B_432/2025,Muschietti,FDP,Strafrecht,gutgeheissen
140,4D_58/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
141,4D_60/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
142,4D_35/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
143,4D_26/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
144,4D_38/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
145,4D_43/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
148,4D_74/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,abgeschrieben
149,2C_142/2026,Aubry Girardin,Grüne,Öffentliches Recht,abgewiesen
14,7B_707/2026,Abrecht,SP,Strafrecht,teilweise gutgeheissen
150,8C_140/2026,Viscione,SVP,Öffentliches Recht,gutgeheissen
152,4A_285/2026,Kiss,FDP,Zivilrecht,nicht eingetreten
153,1C_722/2025,Kneubühler,SP,Öffentliches Recht,abgewiesen
154,4A_206/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
155,4D_61/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
156,9C_208/2025,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
157,7B_926/2025,Abrecht,SP,Strafrecht,abgewiesen
158,9C_362/2025,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
159,1C_330/2026,Haag,GLP,Öffentliches Recht,nicht eingetreten
15,4A_157/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
160,1C_362/2025,Haag,GLP,Öffentliches Recht,abgewiesen
161,7B_110/2025,Abrecht,SP,Strafrecht,teilweise gutgeheissen
162,7B_647/2026,Abrecht,SP,Strafrecht,nicht eingetreten
163,4A_289/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
164,2C_337/2026,Donzallaz,parteilos (ex SVP),Öffentliches Recht,nicht eingetreten
165,8C_490/2024,Viscione,SVP,Öffentliches Recht,abgewiesen
166,8C_675/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
168,9C_310/2025,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
169,9C_600/2025,Moser-Szeless,SVP,Öffentliches Recht,teilweise gutgeheissen
16,5A_1078/2025,Bovey,FDP,Zivilrecht,abgewiesen
170,8C_113/2026,Viscione,SVP,Öffentliches Recht,abgewiesen
